"scenario_id","decision_month","customer_unique_id","anchor_date","recommended_offer_type","final_policy_name","is_selected","net_ev_scn","incremental_profit_scn","expected_margin_value_scn","offer_cost_scn","expected_offer_cost_scn","p_offer_scn","priority_rank","cut_by_buffer_flag","missing_p_offer_flag","budget_amount","spend_expected_selected","spend_p95_selected","roi_expected","p95_overspend_flag_month","raw_overspend_flag_month"
LIFT_075,2018-07-01 00:00:00.000 +0300,"6f1b9f60ea8ee748140353648c2d8d8f",2018-07-13,free_shipping,p95_buffer,1,0.02338682432432404,1.0638091216216214,69.975,12.57,1.0404222972972974,0.08277027027027027,5,0,0,49.673009997903144,7.363123907998908,24.580831625483214,1.3754634059242887,0,1
LIFT_075,2018-08-01 00:00:00.000 +0300,"801512ead4c9cbc98ecd208f45c975ec",2018-08-20,free_shipping,p95_buffer,1,0.7733614864864864,2.352618243243243,154.75,19.08,1.5792567567567566,0.08277027027027027,1,0,0,58.72735155131334,3.805777027027027,16.170683471856513,1.2365303015508073,0,0
LIFT_075,2018-08-01 00:00:00.000 +0300,"494e887fef923d79982b3c0e1ab49cdd",2018-08-03,free_shipping,p95_buffer,1,0.11893158783783764,1.4829856418918916,97.5475,16.48,1.364054054054054,0.08277027027027027,2,0,0,58.72735155131334,3.805777027027027,16.170683471856513,1.2365303015508073,0,0
LIFT_075,2018-08-01 00:00:00.000 +0300,"272f0ffe236b0bf765e14f5a2b577a6b",2018-08-07,free_shipping,p95_buffer,1,0.007888513513513384,0.8703547297297296,57.25,10.42,0.8624662162162162,0.08277027027027027,3,0,0,58.72735155131334,3.805777027027027,16.170683471856513,1.2365303015508073,0,0
LIFT_125,2017-08-01 00:00:00.000 +0300,"59d66d72939bc9497e19d89c61a96d5f",2017-08-24,free_shipping,p95_buffer,1,14.047550675675677,16.469594594594597,650.0,26.07,2.422043918918919,0.09290540540540541,1,0,0,32.314546099129,6.217552211302212,23.92525291240432,3.7958968935914355,0,1
LIFT_125,2017-08-01 00:00:00.000 +0300,ca6d9bc2e717c2a0aa19d77a3bfa5398,2017-08-11,free_shipping,p95_buffer,1,3.056565656565656,5.548611111111111,199.75,19.35,2.4920454545454547,0.12878787878787878,2,0,0,32.314546099129,6.217552211302212,23.92525291240432,3.7958968935914355,0,1
LIFT_125,2017-08-01 00:00:00.000 +0300,"0b3dc7efaafb0cf78a4796d42fa8d74c",2017-08-08,free_shipping,p95_buffer,1,0.2795185810810814,1.5829814189189193,62.475,14.03,1.303462837837838,0.09290540540540541,3,0,0,32.314546099129,6.217552211302212,23.92525291240432,3.7958968935914355,0,1
LIFT_125,2017-09-01 00:00:00.000 +0300,"165d93a9d1da194b47da42c9cf810ebd",2017-09-16,free_shipping,p95_buffer,1,1.5368623737373737,3.4686805555555553,124.8725,15.0,1.9318181818181817,0.12878787878787878,1,0,0,27.688446218935482,6.1339598689598684,22.28486026191957,1.4711045885174907,0,1
LIFT_125,2017-09-01 00:00:00.000 +0300,"04d3c2795b83634312bf3f86f41f7901",2017-09-06,free_shipping,p95_buffer,1,0.7942171717171718,3.4652777777777777,124.75,20.74,2.671060606060606,0.12878787878787878,2,0,0,27.688446218935482,6.1339598689598684,22.28486026191957,1.4711045885174907,0,1
LIFT_125,2017-09-01 00:00:00.000 +0300,"1d72aaec15863f7532b2dbf4a5c4247d",2017-09-11,free_shipping,p95_buffer,1,0.5586570945945946,2.089738175675676,82.475,16.48,1.5310810810810813,0.09290540540540541,3,0,0,27.688446218935482,6.1339598689598684,22.28486026191957,1.4711045885174907,0,1
LIFT_125,2017-10-01 00:00:00.000 +0300,"98758d88bf4b8eef1372ddee45d63178",2017-10-16,free_shipping,p95_buffer,1,1.0104307432432442,5.12521114864865,202.275,44.29,4.114780405405406,0.09290540540540541,1,0,0,33.44740652514579,5.619847972972973,28.14067735678227,1.238747200889704,0,1
LIFT_125,2017-10-01 00:00:00.000 +0300,"664fe7916cb8709c6b848383c6361dcc",2017-10-30,free_shipping,p95_buffer,1,0.33129222972973005,1.8363597972972976,72.475,16.2,1.5050675675675675,0.09290540540540541,2,0,0,33.44740652514579,5.619847972972973,28.14067735678227,1.238747200889704,0,1
